Problema,Estrategia,n,K,m,z,S,CPU,nodos_generados
max_div_20_2.txt,SmallestZ,20,2,2,8.51033,(8.670000 3.170000)(0.630000 5.960000),0.00262,40
max_div_20_2.txt,Deeper,20,2,2,8.51033,(8.670000 3.170000)(0.630000 5.960000),0.002108,40
max_div_20_2.txt,SmallestZ,20,2,3,21.9961,(8.670000 3.170000)(8.570000 8.360000)(0.630000 5.960000),0.007335,58
max_div_20_2.txt,Deeper,20,2,3,21.9961,(8.670000 3.170000)(8.570000 8.360000)(0.630000 5.960000),0.006677,58
max_div_20_2.txt,SmallestZ,20,2,4,40.0023,(8.670000 3.170000)(1.160000 4.470000)(3.470000 9.430000)(8.570000 8.360000),0.017635,75
max_div_20_2.txt,Deeper,20,2,4,40.0023,(8.670000 3.170000)(1.160000 4.470000)(8.570000 8.360000)(3.470000 9.430000),0.01563,75
max_div_20_2.txt,SmallestZ,20,2,5,63.6517,(0.630000 5.960000)(8.570000 8.360000)(8.670000 3.170000)(1.970000 3.500000)(3.470000 9.430000),0.04935,142
max_div_20_2.txt,Deeper,20,2,5,63.6517,(0.630000 5.960000)(8.670000 3.170000)(3.470000 9.430000)(1.970000 3.500000)(8.570000 8.360000),0.031803,91
max_div_20_2.txt,SmallestZ,20,2,6,92.3339,(1.160000 4.470000)(3.470000 9.430000)(8.670000 3.170000)(0.630000 5.960000)(8.670000 3.170000)(8.570000 8.360000),0.059741,106
max_div_20_2.txt,Deeper,20,2,6,92.3339,(1.160000 4.470000)(3.470000 9.430000)(8.670000 3.170000)(0.630000 5.960000)(8.570000 8.360000)(8.670000 3.170000),0.058273,106
max_div_15_2.txt,SmallestZ,15,2,2,11.8592,(8.650000 9.980000)(0.580000 1.290000),0.001523,30
max_div_15_2.txt,Deeper,15,2,2,11.8592,(8.650000 9.980000)(0.580000 1.290000),0.001325,30
max_div_15_2.txt,SmallestZ,15,2,3,27.3727,(9.110000 3.230000)(0.580000 1.290000)(8.650000 9.980000),0.004683,43
max_div_15_2.txt,Deeper,15,2,3,27.3727,(8.650000 9.980000)(0.580000 1.290000)(9.110000 3.230000),0.003588,43
max_div_15_2.txt,SmallestZ,15,2,4,49.8268,(9.110000 3.230000)(0.580000 1.290000)(8.650000 9.980000)(0.160000 4.620000),0.00954,55
max_div_15_2.txt,Deeper,15,2,4,49.8268,(9.110000 3.230000)(0.580000 1.290000)(8.650000 9.980000)(0.160000 4.620000),0.008272,55
max_div_15_2.txt,SmallestZ,15,2,5,79.1295,(8.650000 9.980000)(0.160000 4.620000)(0.580000 1.290000)(9.960000 8.170000)(9.110000 3.230000),0.058597,260
max_div_15_2.txt,Deeper,15,2,5,79.1295,(8.650000 9.980000)(0.580000 1.290000)(9.110000 3.230000)(9.960000 8.170000)(0.160000 4.620000),0.017272,66
max_div_15_2.txt,SmallestZ,15,2,6,115.428,(8.650000 9.980000)(0.580000 1.290000)(9.110000 3.230000)(1.350000 7.110000)(0.580000 1.290000)(9.960000 8.170000),0.034509,76
max_div_15_2.txt,Deeper,15,2,6,115.428,(8.650000 9.980000)(1.350000 7.110000)(0.580000 1.290000)(9.960000 8.170000)(0.580000 1.290000)(9.110000 3.230000),0.032476,76
max_div_30_3.txt,SmallestZ,30,3,2,13.0737,(6.710000 0.350000 9.420000)(8.060000 9.590000 0.270000),0.005635,60
max_div_30_3.txt,Deeper,30,3,2,13.0737,(8.060000 9.590000 0.270000)(6.710000 0.350000 9.420000),0.004828,60
max_div_30_3.txt,SmallestZ,30,3,3,34.2905,(1.530000 8.090000 9.560000)(8.320000 0.470000 8.980000)(8.060000 9.590000 0.270000),0.016921,88
max_div_30_3.txt,Deeper,30,3,3,34.2905,(8.060000 9.590000 0.270000)(8.320000 0.470000 8.980000)(1.530000 8.090000 9.560000),0.015235,88
max_div_30_3.txt,SmallestZ,30,3,4,63.702,(8.060000 9.590000 0.270000)(8.320000 0.470000 8.980000)(1.530000 8.090000 9.560000)(6.750000 0.070000 1.800000),0.041145,115
max_div_30_3.txt,Deeper,30,3,4,63.702,(8.060000 9.590000 0.270000)(8.320000 0.470000 8.980000)(1.530000 8.090000 9.560000)(6.750000 0.070000 1.800000),0.038556,115
max_div_30_3.txt,SmallestZ,30,3,5,99.592,(8.060000 9.590000 0.270000)(6.750000 0.070000 1.800000)(1.530000 8.090000 9.560000)(8.320000 0.470000 8.980000)(7.540000 8.930000 9.660000),0.086994,141
max_div_30_3.txt,Deeper,30,3,5,99.592,(8.060000 9.590000 0.270000)(8.320000 0.470000 8.980000)(1.530000 8.090000 9.560000)(6.750000 0.070000 1.800000)(7.540000 8.930000 9.660000),0.084202,141
max_div_30_3.txt,SmallestZ,30,3,6,143.829,(6.750000 0.070000 1.800000)(9.990000 4.400000 9.760000)(8.060000 9.590000 0.270000)(6.710000 0.350000 9.420000)(1.530000 8.090000 9.560000)(8.060000 9.590000 0.270000),0.141375,166
max_div_30_3.txt,Deeper,30,3,6,143.829,(1.530000 8.090000 9.560000)(6.750000 0.070000 1.800000)(9.990000 4.400000 9.760000)(8.060000 9.590000 0.270000)(6.710000 0.350000 9.420000)(8.060000 9.590000 0.270000),0.149021,166
