Problema,Estrategia,n,K,m,z,S,CPU,nodos_generados
max_div_20_2.txt,GreatterZ,20,2,2,8.51033,(8.670000 3.170000)(0.630000 5.960000),0.002119,40
max_div_20_2.txt,Deeper,20,2,2,8.51033,(8.670000 3.170000)(0.630000 5.960000),0.001688,40
max_div_20_2.txt,GreatterZ,20,2,3,21.9961,(8.670000 3.170000)(8.570000 8.360000)(0.630000 5.960000),0.005832,58
max_div_20_2.txt,Deeper,20,2,3,21.9961,(8.670000 3.170000)(0.630000 5.960000)(8.570000 8.360000),0.005065,58
max_div_20_2.txt,GreatterZ,20,2,4,40.0023,(1.160000 4.470000)(8.670000 3.170000)(8.570000 8.360000)(3.470000 9.430000),0.013383,75
max_div_20_2.txt,Deeper,20,2,4,40.0023,(1.160000 4.470000)(8.670000 3.170000)(8.570000 8.360000)(3.470000 9.430000),0.012437,75
max_div_20_2.txt,GreatterZ,20,2,5,63.6517,(1.970000 3.500000)(8.570000 8.360000)(0.630000 5.960000)(3.470000 9.430000)(8.670000 3.170000),0.026164,91
max_div_20_2.txt,Deeper,20,2,5,63.6517,(0.630000 5.960000)(3.470000 9.430000)(8.670000 3.170000)(1.970000 3.500000)(8.570000 8.360000),0.024538,91
max_div_20_2.txt,GreatterZ,20,2,6,92.3339,(1.160000 4.470000)(3.470000 9.430000)(0.630000 5.960000)(8.570000 8.360000)(8.670000 3.170000)(8.670000 3.170000),0.046737,106
max_div_20_2.txt,Deeper,20,2,6,92.3339,(1.160000 4.470000)(3.470000 9.430000)(8.670000 3.170000)(0.630000 5.960000)(8.670000 3.170000)(8.570000 8.360000),0.044498,106
max_div_15_2.txt,GreatterZ,15,2,2,11.8592,(8.650000 9.980000)(0.580000 1.290000),0.001298,30
max_div_15_2.txt,Deeper,15,2,2,11.8592,(8.650000 9.980000)(0.580000 1.290000),0.000976,30
max_div_15_2.txt,GreatterZ,15,2,3,27.3727,(8.650000 9.980000)(9.110000 3.230000)(0.580000 1.290000),0.003468,43
max_div_15_2.txt,Deeper,15,2,3,27.3727,(9.110000 3.230000)(0.580000 1.290000)(8.650000 9.980000),0.002887,43
max_div_15_2.txt,GreatterZ,15,2,4,49.8268,(9.110000 3.230000)(0.160000 4.620000)(8.650000 9.980000)(0.580000 1.290000),0.008955,55
