Problema,Estrategia,n,K,m,z,S,CPU,nodos_generados
max_div_15_3.txt,SmallestZ,15,3,2,13.2732,(9.880000 9.880000 6.260000)(0.300000 0.920000 4.230000),0.00163,30
max_div_15_3.txt,Deeper,15,3,2,13.2732,(9.880000 9.880000 6.260000)(0.300000 0.920000 4.230000),0.001393,30
max_div_15_3.txt,SmallestZ,15,3,3,31.8685,(9.880000 9.880000 6.260000)(5.170000 1.390000 0.910000)(1.710000 1.950000 9.220000),0.004505,43
max_div_15_3.txt,Deeper,15,3,3,31.8685,(9.880000 9.880000 6.260000)(1.710000 1.950000 9.220000)(5.170000 1.390000 0.910000),0.00375,43
max_div_15_3.txt,SmallestZ,15,3,4,59.7638,(1.710000 1.950000 9.220000)(6.650000 9.450000 1.020000)(9.880000 9.880000 6.260000)(0.300000 0.920000 4.230000),0.010026,55
max_div_15_3.txt,Deeper,15,3,4,59.7638,(1.710000 1.950000 9.220000)(6.650000 9.450000 1.020000)(9.880000 9.880000 6.260000)(0.300000 0.920000 4.230000),0.009554,55
max_div_15_3.txt,SmallestZ,15,3,5,96.0858,(9.880000 9.880000 6.260000)(9.470000 3.560000 1.830000)(0.300000 0.920000 4.230000)(1.150000 9.210000 3.110000)(1.710000 1.950000 9.220000),0.016253,66
max_div_15_3.txt,Deeper,15,3,5,96.0858,(9.880000 9.880000 6.260000)(9.470000 3.560000 1.830000)(0.300000 0.920000 4.230000)(1.710000 1.950000 9.220000)(1.150000 9.210000 3.110000),0.016576,66
max_div_15_3.txt,SmallestZ,15,3,6,138.157,(9.880000 9.880000 6.260000)(1.710000 1.950000 9.220000)(0.300000 0.920000 4.230000)(9.880000 9.880000 6.260000)(9.470000 3.560000 1.830000)(1.150000 9.210000 3.110000),0.034214,76
max_div_15_3.txt,Deeper,15,3,6,138.157,(9.880000 9.880000 6.260000)(1.150000 9.210000 3.110000)(9.880000 9.880000 6.260000)(1.710000 1.950000 9.220000)(9.470000 3.560000 1.830000)(0.300000 0.920000 4.230000),0.0312,76
