Problema,n,K,m,Iter,|LRC|,z0,z,S,CPU
max_div_20_3.txt,20,3,2,10,3,10.7295,11.8003,(0.650000 3.760000 9.070000)(9.810000 2.050000 1.830000),0.000779
max_div_20_3.txt,20,3,2,20,2,11.8003,11.8003,(9.810000 2.050000 1.830000)(0.650000 3.760000 9.070000),0.000555
max_div_20_3.txt,20,3,2,20,3,10.7295,11.8003,(0.650000 3.760000 9.070000)(9.810000 2.050000 1.830000),0.000786
max_div_20_3.txt,20,3,3,10,2,30.0044,30.8727,(0.650000 3.760000 9.070000)(9.810000 2.050000 1.830000)(8.870000 9.560000 5.340000),0.00186
max_div_20_3.txt,20,3,3,10,3,29.7909,30.8727,(0.650000 3.760000 9.070000)(9.810000 2.050000 1.830000)(8.870000 9.560000 5.340000),0.00173
max_div_20_3.txt,20,3,3,20,2,30.8727,30.8727,(0.650000 3.760000 9.070000)(9.810000 2.050000 1.830000)(8.870000 9.560000 5.340000),0.000992
max_div_20_3.txt,20,3,3,20,3,26.705,30.8727,(0.650000 3.760000 9.070000)(8.870000 9.560000 5.340000)(9.810000 2.050000 1.830000),0.002664
max_div_20_3.txt,20,3,4,10,2,54.7146,56.6903,(0.650000 3.760000 9.070000)(9.810000 2.050000 1.830000)(9.600000 2.020000 9.000000)(0.830000 7.060000 3.340000),0.003619
max_div_20_3.txt,20,3,4,10,3,55.1201,56.6903,(0.650000 3.760000 9.070000)(9.810000 2.050000 1.830000)(9.600000 2.020000 9.000000)(0.830000 7.060000 3.340000),0.003447
max_div_20_3.txt,20,3,4,20,2,56.5347,56.6903,(0.650000 3.760000 9.070000)(9.810000 2.050000 1.830000)(9.600000 2.020000 9.000000)(0.830000 7.060000 3.340000),0.003402
max_div_20_3.txt,20,3,4,20,3,56.5347,56.6903,(0.650000 3.760000 9.070000)(9.810000 2.050000 1.830000)(9.600000 2.020000 9.000000)(0.830000 7.060000 3.340000),0.003108
max_div_20_3.txt,20,3,5,10,2,85.4847,92.8297,(9.810000 2.050000 1.830000)(0.650000 3.760000 9.070000)(8.870000 9.560000 5.340000)(9.600000 2.020000 9.000000)(0.830000 7.060000 3.340000),0.009712
max_div_20_3.txt,20,3,5,10,3,82.7008,92.8297,(9.810000 2.050000 1.830000)(0.830000 7.060000 3.340000)(8.870000 9.560000 5.340000)(0.650000 3.760000 9.070000)(9.600000 2.020000 9.000000),0.008199
max_div_20_3.txt,20,3,5,20,2,88.7473,92.8297,(0.650000 3.760000 9.070000)(8.870000 9.560000 5.340000)(9.600000 2.020000 9.000000)(0.830000 7.060000 3.340000)(9.810000 2.050000 1.830000),0.008141
max_div_20_3.txt,20,3,5,20,3,84.1455,92.8297,(0.650000 3.760000 9.070000)(8.870000 9.560000 5.340000)(9.810000 2.050000 1.830000)(0.830000 7.060000 3.340000)(9.600000 2.020000 9.000000),0.008626
max_div_20_2.txt,20,2,2,10,2,8.29479,8.51033,(0.630000 5.960000)(8.670000 3.170000),0.000859
max_div_20_2.txt,20,2,2,10,3,8.00525,8.51033,(8.670000 3.170000)(0.630000 5.960000),0.000853
max_div_20_2.txt,20,2,2,20,2,8.51033,8.51033,(0.630000 5.960000)(8.670000 3.170000),0.000561
max_div_20_2.txt,20,2,2,20,3,8.28151,8.51033,(0.630000 5.960000)(8.670000 3.170000),0.000986
max_div_20_2.txt,20,2,3,10,2,18.0377,21.9961,(8.670000 3.170000)(8.570000 8.360000)(0.630000 5.960000),0.002512
max_div_20_2.txt,20,2,3,10,3,21.1324,21.9961,(8.670000 3.170000)(0.630000 5.960000)(8.570000 8.360000),0.001818
max_div_20_2.txt,20,2,3,20,2,18.0377,21.9961,(8.670000 3.170000)(8.570000 8.360000)(0.630000 5.960000),0.002545
max_div_20_2.txt,20,2,3,20,3,20.4092,21.9961,(8.670000 3.170000)(0.630000 5.960000)(8.570000 8.360000),0.002101
max_div_20_2.txt,20,2,4,10,2,39.7018,40.0023,(1.160000 4.470000)(8.670000 3.170000)(8.570000 8.360000)(3.470000 9.430000),0.004426
max_div_20_2.txt,20,2,4,10,3,38.7611,40.0023,(8.670000 3.170000)(3.470000 9.430000)(1.160000 4.470000)(8.570000 8.360000),0.005149
max_div_20_2.txt,20,2,4,20,2,39.7018,40.0023,(1.160000 4.470000)(8.670000 3.170000)(8.570000 8.360000)(3.470000 9.430000),0.005141
